Pays,Année,Trouble,Prévalence,Sexe
Brazil,2000,Trouble obsessionnel-compulsif (TOC),8.98,Homme
Brazil,2000,Stress post-traumatique (PTSD),7.42,Les deux
Brazil,2000,Stress post-traumatique (PTSD),1.31,Femme
Brazil,2000,Stress post-traumatique (PTSD),9.46,Homme
Brazil,2000,Schizophrénie,3.08,Les deux
Brazil,2000,Schizophrénie,5.43,Femme
Brazil,2000,Schizophrénie,9.43,Homme
Brazil,2000,Trouble dissociatif,9.26,Les deux
Brazil,2000,Trouble dissociatif,0.37,Femme
Brazil,2000,Trouble dissociatif,5.94,Homme
Brazil,2000,Trouble du sommeil,1.49,Les deux
Brazil,2000,Trouble du sommeil,5.06,Femme
Brazil,2000,Trouble du sommeil,7.08,Homme
Brazil,2000,Trouble somatique,8.06,Les deux
Brazil,2000,Trouble somatique,5.37,Femme
Brazil,2000,Trouble somatique,0.26,Homme
Brazil,2000,Addiction à l’alcool,8.31,Les deux
Brazil,2000,Addiction à l’alcool,7.75,Femme
Brazil,2000,Addiction à l’alcool,5.79,Homme
Brazil,2000,Addiction aux drogues,8.69,Les deux
Brazil,2000,Addiction aux drogues,6.22,Femme
Brazil,2000,Addiction aux drogues,3.91,Homme
Brazil,2000,Addiction au jeu,6.55,Les deux
Brazil,2000,Addiction au jeu,9.0,Femme
Brazil,2000,Addiction au jeu,2.48,Homme
Brazil,2000,Trouble de l’alimentation,7.49,Les deux
Brazil,2000,Trouble de l’alimentation,7.62,Femme
Brazil,2000,Trouble de l’alimentation,0.82,Homme
Brazil,2000,Autisme,1.55,Les deux
Brazil,2000,Autisme,8.21,Femme
Brazil,2000,Autisme,1.79,Homme
Brazil,2000,TDAH,1.74,Les deux
Brazil,2000,TDAH,2.76,Femme
Brazil,2000,TDAH,1.13,Homme
India,2000,Trouble de la personnalité borderline,0.65,Les deux
India,2000,Trouble de la personnalité borderline,1.68,Femme
India,2000,Trouble de la personnalité borderline,6.57,Homme
India,2000,Trouble bipolaire,4.0,Les deux
India,2000,Trouble bipolaire,3.41,Femme
India,2000,Trouble bipolaire,10.12,Homme
India,2000,Dépression majeure,0.53,Les deux
India,2000,Dépression majeure,1.84,Femme
India,2000,Dépression majeure,2.75,Homme
India,2000,Trouble anxieux généralisé,4.22,Les deux
India,2000,Trouble anxieux généralisé,0.59,Femme
India,2000,Trouble anxieux généralisé,4.92,Homme
India,2000,Trouble panique,8.35,Les deux
India,2000,Trouble panique,0.72,Femme
India,2000,Trouble panique,1.25,Homme
India,2000,Phobie sociale,9.04,Les deux
India,2000,Phobie sociale,11.18,Femme
India,2000,Phobie sociale,8.54,Homme
India,2000,Trouble obsessionnel-compulsif (TOC),7.81,Les deux
India,2000,Trouble obsessionnel-compulsif (TOC),1.52,Femme
India,2000,Trouble obsessionnel-compulsif (TOC),6.01,Homme
India,2000,Stress post-traumatique (PTSD),4.68,Les deux
India,2000,Stress post-traumatique (PTSD),4.27,Femme
India,2000,Stress post-traumatique (PTSD),2.58,Homme
India,2000,Schizophrénie,4.83,Les deux
India,2000,Schizophrénie,4.1,Femme
India,2000,Schizophrénie,3.78,Homme
India,2000,Trouble dissociatif,3.34,Les deux
India,2000,Trouble dissociatif,4.26,Femme
India,2000,Trouble dissociatif,3.6,Homme
India,2000,Trouble du sommeil,9.17,Les deux
India,2000,Trouble du sommeil,4.85,Femme
India,2000,Trouble du sommeil,6.24,Homme
India,2000,Trouble somatique,6.56,Les deux
India,2000,Trouble somatique,8.55,Femme
India,2000,Trouble somatique,6.28,Homme
India,2000,Addiction à l’alcool,7.38,Les deux
India,2000,Addiction à l’alcool,2.33,Femme
India,2000,Addiction à l’alcool,8.1,Homme
India,2000,Addiction aux drogues,6.18,Les deux
India,2000,Addiction aux drogues,1.16,Femme
India,2000,Addiction aux drogues,1.11,Homme
India,2000,Addiction au jeu,1.46,Les deux
India,2000,Addiction au jeu,10.94,Femme
India,2000,Addiction au jeu,6.78,Homme
India,2000,Trouble de l’alimentation,7.97,Les deux
India,2000,Trouble de l’alimentation,9.24,Femme
India,2000,Trouble de l’alimentation,5.52,Homme
India,2000,Autisme,6.2,Les deux
India,2000,Autisme,1.92,Femme
India,2000,Autisme,6.0,Homme
India,2000,TDAH,5.27,Les deux
India,2000,TDAH,8.73,Femme
India,2000,TDAH,5.37,Homme
Japan,2000,Trouble de la personnalité borderline,9.32,Les deux
Japan,2000,Trouble de la personnalité borderline,1.2,Femme
Japan,2000,Trouble de la personnalité borderline,1.06,Homme
Japan,2000,Trouble bipolaire,4.24,Les deux
Japan,2000,Trouble bipolaire,8.55,Femme
Japan,2000,Trouble bipolaire,3.98,Homme
Japan,2000,Dépression majeure,7.65,Les deux
Japan,2000,Dépression majeure,2.8,Femme
Japan,2000,Dépression majeure,3.04,Homme
Japan,2000,Trouble anxieux généralisé,1.56,Les deux
Japan,2000,Trouble anxieux généralisé,9.66,Femme
Japan,2000,Trouble anxieux généralisé,4.36,Homme
Japan,2000,Trouble panique,5.57,Les deux
Japan,2000,Trouble panique,10.62,Femme
Japan,2000,Trouble panique,4.91,Homme
Japan,2000,Phobie sociale,9.87,Les deux
Japan,2000,Phobie sociale,8.54,Femme
Japan,2000,Phobie sociale,1.47,Homme
Japan,2000,Trouble obsessionnel-compulsif (TOC),6.41,Les deux
Japan,2000,Trouble obsessionnel-compulsif (TOC),1.41,Femme
Japan,2000,Trouble obsessionnel-compulsif (TOC),6.23,Homme
Japan,2000,Stress post-traumatique (PTSD),4.6,Les deux
Japan,2000,Stress post-traumatique (PTSD),8.18,Femme
Japan,2000,Stress post-traumatique (PTSD),4.79,Homme
Japan,2000,Schizophrénie,3.09,Les deux
Japan,2000,Schizophrénie,10.43,Femme
Japan,2000,Schizophrénie,1.43,Homme
Japan,2000,Trouble dissociatif,8.8,Les deux
Japan,2000,Trouble dissociatif,3.35,Femme
Japan,2000,Trouble dissociatif,1.38,Homme
Japan,2000,Trouble du sommeil,6.69,Les deux
Japan,2000,Trouble du sommeil,6.06,Femme
Japan,2000,Trouble du sommeil,8.16,Homme
Japan,2000,Trouble somatique,2.48,Les deux
Japan,2000,Trouble somatique,1.72,Femme
Japan,2000,Trouble somatique,2.42,Homme
Japan,2000,Addiction à l’alcool,6.6,Les deux
Japan,2000,Addiction à l’alcool,0.41,Femme
Japan,2000,Addiction à l’alcool,0.66,Homme
Japan,2000,Addiction aux drogues,8.03,Les deux
Japan,2000,Addiction aux drogues,2.84,Femme
Japan,2000,Addiction aux drogues,0.76,Homme
Japan,2000,Addiction au jeu,9.29,Les deux
Japan,2000,Addiction au jeu,8.59,Femme
Japan,2000,Addiction au jeu,7.66,Homme
Japan,2000,Trouble de l’alimentation,2.1,Les deux
Japan,2000,Trouble de l’alimentation,1.41,Femme
Japan,2000,Trouble de l’alimentation,8.14,Homme
Japan,2000,Autisme,8.53,Les deux
Japan,2000,Autisme,1.83,Femme
Japan,2000,Autisme,1.97,Homme
Japan,2000,TDAH,7.13,Les deux
Japan,2000,TDAH,10.62,Femme
Japan,2000,TDAH,0.69,Homme
Germany,2000,Trouble de la personnalité borderline,0.52,Les deux
Germany,2000,Trouble de la personnalité borderline,9.85,Femme
Germany,2000,Trouble de la personnalité borderline,1.68,Homme
Germany,2000,Trouble bipolaire,1.92,Les deux
Germany,2000,Trouble bipolaire,10.17,Femme
Germany,2000,Trouble bipolaire,8.58,Homme
Germany,2000,Dépression majeure,5.77,Les deux
Germany,2000,Dépression majeure,1.82,Femme
Germany,2000,Dépression majeure,3.31,Homme
Germany,2000,Trouble anxieux généralisé,7.03,Les deux
Germany,2000,Trouble anxieux généralisé,7.72,Femme
Germany,2000,Trouble anxieux généralisé,1.65,Homme
Germany,2000,Trouble panique,4.1,Les deux
Germany,2000,Trouble panique,4.49,Femme
Germany,2000,Trouble panique,1.4,Homme
Germany,2000,Phobie sociale,3.12,Les deux
Germany,2000,Phobie sociale,4.7,Femme
Germany,2000,Phobie sociale,6.53,Homme
Germany,2000,Trouble obsessionnel-compulsif (TOC),4.15,Les deux
Germany,2000,Trouble obsessionnel-compulsif (TOC),2.43,Femme
Germany,2000,Trouble obsessionnel-compulsif (TOC),2.95,Homme
Germany,2000,Stress post-traumatique (PTSD),4.24,Les deux
Germany,2000,Stress post-traumatique (PTSD),4.64,Femme
Germany,2000,Stress post-traumatique (PTSD),6.17,Homme
Germany,2000,Schizophrénie,7.05,Les deux
Germany,2000,Schizophrénie,7.14,Femme
Germany,2000,Schizophrénie,3.67,Homme
Germany,2000,Trouble dissociatif,5.54,Les deux
Germany,2000,Trouble dissociatif,4.75,Femme
Germany,2000,Trouble dissociatif,3.87,Homme
Germany,2000,Trouble du sommeil,7.39,Les deux
Germany,2000,Trouble du sommeil,10.44,Femme
Germany,2000,Trouble du sommeil,5.37,Homme
Germany,2000,Trouble somatique,8.02,Les deux
Germany,2000,Trouble somatique,3.7,Femme
Germany,2000,Trouble somatique,4.67,Homme
Germany,2000,Addiction à l’alcool,0.81,Les deux
Germany,2000,Addiction à l’alcool,7.73,Femme
Germany,2000,Addiction à l’alcool,2.88,Homme
Germany,2000,Addiction aux drogues,1.81,Les deux
Germany,2000,Addiction aux drogues,3.6,Femme
Germany,2000,Addiction aux drogues,0.28,Homme
Germany,2000,Addiction au jeu,8.58,Les deux
Germany,2000,Addiction au jeu,3.58,Femme
Germany,2000,Addiction au jeu,5.66,Homme
Germany,2000,Trouble de l’alimentation,3.71,Les deux
Germany,2000,Trouble de l’alimentation,11.49,Femme
Germany,2000,Trouble de l’alimentation,7.69,Homme
Germany,2000,Autisme,6.91,Les deux
Germany,2000,Autisme,7.2,Femme
Germany,2000,Autisme,5.82,Homme
Germany,2000,TDAH,2.17,Les deux
Germany,2000,TDAH,5.03,Femme
Germany,2000,TDAH,2.01,Homme
Canada,2000,Trouble de la personnalité borderline,9.89,Les deux
Canada,2000,Trouble de la personnalité borderline,6.45,Femme
Canada,2000,Trouble de la personnalité borderline,9.33,Homme
Canada,2000,Trouble bipolaire,4.54,Les deux
Canada,2000,Trouble bipolaire,3.68,Femme
Canada,2000,Trouble bipolaire,7.81,Homme
Canada,2000,Dépression majeure,4.75,Les deux
Canada,2000,Dépression majeure,1.52,Femme
Canada,2000,Dépression majeure,8.29,Homme
Canada,2000,Trouble anxieux généralisé,2.41,Les deux
Canada,2000,Trouble anxieux généralisé,3.13,Femme
Canada,2000,Trouble anxieux généralisé,6.19,Homme
Canada,2000,Trouble panique,0.93,Les deux
Canada,2000,Trouble panique,2.9,Femme
Canada,2000,Trouble panique,7.02,Homme
Canada,2000,Phobie sociale,6.74,Les deux
Canada,2000,Phobie sociale,7.02,Femme
Canada,2000,Phobie sociale,3.96,Homme
Canada,2000,Trouble obsessionnel-compulsif (TOC),3.45,Les deux
Canada,2000,Trouble obsessionnel-compulsif (TOC),8.84,Femme
Canada,2000,Trouble obsessionnel-compulsif (TOC),8.91,Homme
Canada,2000,Stress post-traumatique (PTSD),5.1,Les deux
Canada,2000,Stress post-traumatique (PTSD),9.8,Femme
Canada,2000,Stress post-traumatique (PTSD),8.54,Homme
Canada,2000,Schizophrénie,5.04,Les deux
Canada,2000,Schizophrénie,4.99,Femme
Canada,2000,Schizophrénie,4.75,Homme
Canada,2000,Trouble dissociatif,6.35,Les deux
Canada,2000,Trouble dissociatif,1.86,Femme
Canada,2000,Trouble dissociatif,1.81,Homme
Canada,2000,Trouble du sommeil,9.28,Les deux
Canada,2000,Trouble du sommeil,4.5,Femme
Canada,2000,Trouble du sommeil,5.44,Homme
Canada,2000,Trouble somatique,2.85,Les deux
Canada,2000,Trouble somatique,7.7,Femme
Canada,2000,Trouble somatique,10.67,Homme
Canada,2000,Addiction à l’alcool,4.83,Les deux
Canada,2000,Addiction à l’alcool,8.94,Femme
Canada,2000,Addiction à l’alcool,8.6,Homme
Canada,2000,Addiction aux drogues,7.84,Les deux
Canada,2000,Addiction aux drogues,8.11,Femme
Canada,2000,Addiction aux drogues,7.59,Homme
Canada,2000,Addiction au jeu,5.58,Les deux
Canada,2000,Addiction au jeu,7.83,Femme
Canada,2000,Addiction au jeu,9.71,Homme
Canada,2000,Trouble de l’alimentation,7.36,Les deux
Canada,2000,Trouble de l’alimentation,7.55,Femme
Canada,2000,Trouble de l’alimentation,1.21,Homme
Canada,2000,Autisme,7.8,Les deux
Canada,2000,Autisme,5.92,Femme
Canada,2000,Autisme,5.61,Homme
Canada,2000,TDAH,4.17,Les deux
Canada,2000,TDAH,7.36,Femme
Canada,2000,TDAH,6.39,Homme
Australia,2000,Trouble de la personnalité borderline,9.25,Les deux
Australia,2000,Trouble de la personnalité borderline,7.51,Femme
Australia,2000,Trouble de la personnalité borderline,3.47,Homme
Australia,2000,Trouble bipolaire,1.18,Les deux
Australia,2000,Trouble bipolaire,7.56,Femme
Australia,2000,Trouble bipolaire,9.0,Homme
Australia,2000,Dépression majeure,7.42,Les deux
Australia,2000,Dépression majeure,7.34,Femme
Australia,2000,Dépression majeure,2.63,Homme
Australia,2000,Trouble anxieux généralisé,8.6,Les deux
Australia,2000,Trouble anxieux généralisé,0.15,Femme
Australia,2000,Trouble anxieux généralisé,6.19,Homme
Australia,2000,Trouble panique,4.07,Les deux
Australia,2000,Trouble panique,9.88,Femme
Australia,2000,Trouble panique,2.84,Homme
Australia,2000,Phobie sociale,3.55,Les deux
Australia,2000,Phobie sociale,8.46,Femme
Australia,2000,Phobie sociale,6.06,Homme
Australia,2000,Trouble obsessionnel-compulsif (TOC),2.82,Les deux
Australia,2000,Trouble obsessionnel-compulsif (TOC),8.49,Femme
Australia,2000,Trouble obsessionnel-compulsif (TOC),0.94,Homme
Australia,2000,Stress post-traumatique (PTSD),7.2,Les deux
Australia,2000,Stress post-traumatique (PTSD),9.71,Femme
Australia,2000,Stress post-traumatique (PTSD),3.1,Homme
Australia,2000,Schizophrénie,1.45,Les deux
Australia,2000,Schizophrénie,6.95,Femme
Australia,2000,Schizophrénie,7.59,Homme
Australia,2000,Trouble dissociatif,3.98,Les deux
Australia,2000,Trouble dissociatif,9.61,Femme
Australia,2000,Trouble dissociatif,1.44,Homme
Australia,2000,Trouble du sommeil,0.76,Les deux
Australia,2000,Trouble du sommeil,1.9,Femme
Australia,2000,Trouble du sommeil,5.0,Homme
Australia,2000,Trouble somatique,3.5,Les deux
Australia,2000,Trouble somatique,5.06,Femme
Australia,2000,Trouble somatique,8.01,Homme
Australia,2000,Addiction à l’alcool,2.92,Les deux
Australia,2000,Addiction à l’alcool,8.72,Femme
Australia,2000,Addiction à l’alcool,3.89,Homme
Australia,2000,Addiction aux drogues,5.34,Les deux
Australia,2000,Addiction aux drogues,8.02,Femme
Australia,2000,Addiction aux drogues,6.5,Homme
Australia,2000,Addiction au jeu,2.49,Les deux
Australia,2000,Addiction au jeu,3.12,Femme
Australia,2000,Addiction au jeu,8.62,Homme
Australia,2000,Trouble de l’alimentation,5.66,Les deux
Australia,2000,Trouble de l’alimentation,9.01,Femme
Australia,2000,Trouble de l’alimentation,4.63,Homme
Australia,2000,Autisme,9.95,Les deux
Australia,2000,Autisme,7.76,Femme
Australia,2000,Autisme,10.27,Homme
Australia,2000,TDAH,1.93,Les deux
Australia,2000,TDAH,5.27,Femme
Australia,2000,TDAH,7.79,Homme
South Africa,2000,Trouble de la personnalité borderline,5.18,Les deux
South Africa,2000,Trouble de la personnalité borderline,3.99,Femme
South Africa,2000,Trouble de la personnalité borderline,8.94,Homme
South Africa,2000,Trouble bipolaire,0.51,Les deux
South Africa,2000,Trouble bipolaire,2.33,Femme
South Africa,2000,Trouble bipolaire,4.86,Homme
South Africa,2000,Dépression majeure,3.19,Les deux
South Africa,2000,Dépression majeure,0.56,Femme
South Africa,2000,Dépression majeure,3.59,Homme
South Africa,2000,Trouble anxieux généralisé,7.01,Les deux
South Africa,2000,Trouble anxieux généralisé,2.13,Femme
South Africa,2000,Trouble anxieux généralisé,4.1,Homme
South Africa,2000,Trouble panique,0.12,Les deux
South Africa,2000,Trouble panique,1.4,Femme
South Africa,2000,Trouble panique,0.12,Homme
South Africa,2000,Phobie sociale,4.95,Les deux
South Africa,2000,Phobie sociale,3.5,Femme
South Africa,2000,Phobie sociale,9.02,Homme
South Africa,2000,Trouble obsessionnel-compulsif (TOC),2.68,Les deux
South Africa,2000,Trouble obsessionnel-compulsif (TOC),3.2,Femme
South Africa,2000,Trouble obsessionnel-compulsif (TOC),5.36,Homme
South Africa,2000,Stress post-traumatique (PTSD),2.36,Les deux
South Africa,2000,Stress post-traumatique (PTSD),3.98,Femme
South Africa,2000,Stress post-traumatique (PTSD),0.6,Homme
South Africa,2000,Schizophrénie,7.14,Les deux
South Africa,2000,Schizophrénie,1.45,Femme
South Africa,2000,Schizophrénie,1.73,Homme
South Africa,2000,Trouble dissociatif,0.19,Les deux
South Africa,2000,Trouble dissociatif,1.79,Femme
South Africa,2000,Trouble dissociatif,1.3,Homme
South Africa,2000,Trouble du sommeil,2.49,Les deux
South Africa,2000,Trouble du sommeil,6.18,Femme
South Africa,2000,Trouble du sommeil,7.67,Homme
South Africa,2000,Trouble somatique,8.55,Les deux
South Africa,2000,Trouble somatique,5.91,Femme
South Africa,2000,Trouble somatique,8.97,Homme
South Africa,2000,Addiction à l’alcool,2.62,Les deux
South Africa,2000,Addiction à l’alcool,9.53,Femme
South Africa,2000,Addiction à l’alcool,7.26,Homme
South Africa,2000,Addiction aux drogues,3.68,Les deux
South Africa,2000,Addiction aux drogues,8.11,Femme
South Africa,2000,Addiction aux drogues,8.65,Homme
South Africa,2000,Addiction au jeu,2.24,Les deux
South Africa,2000,Addiction au jeu,4.18,Femme
South Africa,2000,Addiction au jeu,0.79,Homme
South Africa,2000,Trouble de l’alimentation,3.53,Les deux
South Africa,2000,Trouble de l’alimentation,0.27,Femme
South Africa,2000,Trouble de l’alimentation,8.1,Homme
South Africa,2000,Autisme,7.41,Les deux
South Africa,2000,Autisme,3.78,Femme
South Africa,2000,Autisme,5.61,Homme
South Africa,2000,TDAH,1.52,Les deux
South Africa,2000,TDAH,6.63,Femme
South Africa,2000,TDAH,6.13,Homme
Mexico,2000,Trouble de la personnalité borderline,0.14,Les deux
Mexico,2000,Trouble de la personnalité borderline,0.32,Femme
Mexico,2000,Trouble de la personnalité borderline,5.52,Homme
Mexico,2000,Trouble bipolaire,8.98,Les deux
Mexico,2000,Trouble bipolaire,9.35,Femme
Mexico,2000,Trouble bipolaire,6.14,Homme
Mexico,2000,Dépression majeure,0.6,Les deux
Mexico,2000,Dépression majeure,5.92,Femme
Mexico,2000,Dépression majeure,7.68,Homme
Mexico,2000,Trouble anxieux généralisé,0.28,Les deux
Mexico,2000,Trouble anxieux généralisé,5.81,Femme
Mexico,2000,Trouble anxieux généralisé,8.54,Homme
Mexico,2000,Trouble panique,6.15,Les deux
Mexico,2000,Trouble panique,5.69,Femme
Mexico,2000,Trouble panique,7.61,Homme
Mexico,2000,Phobie sociale,5.71,Les deux
Mexico,2000,Phobie sociale,9.09,Femme
Mexico,2000,Phobie sociale,4.48,Homme
Mexico,2000,Trouble obsessionnel-compulsif (TOC),0.22,Les deux
Mexico,2000,Trouble obsessionnel-compulsif (TOC),8.43,Femme
Mexico,2000,Trouble obsessionnel-compulsif (TOC),3.84,Homme
Mexico,2000,Stress post-traumatique (PTSD),8.91,Les deux
Mexico,2000,Stress post-traumatique (PTSD),4.43,Femme
Mexico,2000,Stress post-traumatique (PTSD),1.88,Homme
Mexico,2000,Schizophrénie,1.87,Les deux
Mexico,2000,Schizophrénie,2.4,Femme
Mexico,2000,Schizophrénie,8.8,Homme
Mexico,2000,Trouble dissociatif,4.75,Les deux
Mexico,2000,Trouble dissociatif,8.57,Femme
Mexico,2000,Trouble dissociatif,4.06,Homme
Mexico,2000,Trouble du sommeil,7.44,Les deux
Mexico,2000,Trouble du sommeil,8.33,Femme
Mexico,2000,Trouble du sommeil,5.35,Homme
Mexico,2000,Trouble somatique,9.05,Les deux
Mexico,2000,Trouble somatique,9.88,Femme
Mexico,2000,Trouble somatique,1.05,Homme
Mexico,2000,Addiction à l’alcool,7.46,Les deux
Mexico,2000,Addiction à l’alcool,0.39,Femme
Mexico,2000,Addiction à l’alcool,4.28,Homme
Mexico,2000,Addiction aux drogues,8.89,Les deux
Mexico,2000,Addiction aux drogues,3.99,Femme
Mexico,2000,Addiction aux drogues,6.58,Homme
Mexico,2000,Addiction au jeu,4.15,Les deux
Mexico,2000,Addiction au jeu,7.15,Femme
Mexico,2000,Addiction au jeu,4.54,Homme
Mexico,2000,Trouble de l’alimentation,3.83,Les deux
Mexico,2000,Trouble de l’alimentation,3.76,Femme
Mexico,2000,Trouble de l’alimentation,1.89,Homme
Mexico,2000,Autisme,3.46,Les deux
Mexico,2000,Autisme,9.3,Femme
Mexico,2000,Autisme,1.22,Homme
Mexico,2000,TDAH,8.82,Les deux
Mexico,2000,TDAH,2.74,Femme
Mexico,2000,TDAH,2.05,Homme
China,2000,Trouble de la personnalité borderline,4.74,Les deux
China,2000,Trouble de la personnalité borderline,2.44,Femme
China,2000,Trouble de la personnalité borderline,5.78,Homme
China,2000,Trouble bipolaire,6.56,Les deux
China,2000,Trouble bipolaire,4.67,Femme
China,2000,Trouble bipolaire,2.57,Homme
China,2000,Dépression majeure,7.67,Les deux
China,2000,Dépression majeure,10.28,Femme
China,2000,Dépression majeure,11.76,Homme
China,2000,Trouble anxieux généralisé,9.53,Les deux
China,2000,Trouble anxieux généralisé,0.76,Femme
